name,rating,total_reviews,phone,address,hours_days,amenities_count,photos_count,reviews_count
Timone Consultancy,5.0,120,089750 85245,"Office No.401, Fourth Floor, Goodwill Square Sr.No.17/1A/1(P), Madhav Nagar Lohegaon, Dhanori Rd, Dhanori, Pune, Maharashtra 411015",7,2,20,15
Precise Accounting Solutions,5.0,102,085308 07888,"Flat. No.403, Skyways Esfera, WING-A, Porwal Rd, near Zudio Showroom, opposite to Girija Restaurant, Kutwal Colony, Lohegaon, Pune, Maharashtra 411047",7,0,4,15
TAX SOURCE CONSULTANCY,4.9,143,,"A/P 486, Keshav Nagar, Opp. Sarita Apartment, Kasarwadi, Pune, Maharashtra 411026",7,2,1,15
Ace Taxation Consultancy,3.7,3,,"GR24+MP2, Chaitanya Nagar, Kothrud, Pune, Maharashtra 411038",0,0,0,2
D P Consultancy,5.0,15,082087 02582,"S.No.118, 3/1, Balewadi High St, behind Hotel Varsha Garden, opp. The Nest P G House, Baner, Pune, Maharashtra 411045",7,0,1,15
Farash Tax Consultancy,4.9,109,097621 51171,"Sr No.55 Opp New Bhat Clinic, Ashram Road, 07, Bhagyoday Nagar Rd, Kondhwa, Pune, Maharashtra 411048",7,3,6,15
Aura Tax Solutions LLP,5.0,62,098603 54930,"Amanora Park Town, Hadapsar, Pune, Maharashtra 411028",7,0,6,15
AMOL DHASADE & ASSOCIATES Tax consultant,4.9,95,098604 57070,"Sr.No. 83, DP road, laxmikant housing society, near ashish garden, Kothrud, Pune, Maharashtra 411038",7,0,13,15
Om Sai Consultancy,5.0,71,,"FLAT NO.7, SAKET CO OP HSG SOC, Shivthirth Nagar, Kothrud, Pune, Maharashtra 411038",7,0,6,0
,,53,096079 05903,"Office No 409, 4th FLOOR, Pune University Rd, ICS Colony, Shivajinagar, Pune, Maharashtra 411007",0,5,1,0
,,110,020 2433 3635,"Unit No.107, 1st Floor, Sonai Apartment, Lal Bahadur Shastri Rd, above Sant Sopankaka Sahakari Bank, opp. Chinmay Hospital, Navi Peth, Sadashiv Peth, Pune, Maharashtra 411030",0,1,18,0
,,2,091314 52930,"OFFICE NO. 102, 1 ST FLOOR Sunshine joy pawale plazaPirangut, Pirangut, Maharashtra 412115",0,3,0,0
,,,,"517, Sadashiv Peth Rd, Perugate, Sadashiv Peth, Pune, Maharashtra 411030",0,0,0,0
,,6,084858 55205,"Mulani Vasti, near Laxmi Petrolpump, Mulshi, Maan, Pune, Man, Maharashtra 411057",0,2,1,0
,,43,082620 87442,"Hanumant niwas, Dhamalwadi, Bhekrai Nagar, Hadapsar, Phursungi, Pune, Maharashtra 412308",0,2,1,0
,,2,020 2447 9369,"2, Dnyanada Society, Sadashiv Peth, Sadashiv Peth, near Dnyan Prabodhini, Pune, Maharashtra 411030",0,0,0,0
,,2,,"B-307 Riviera, Mhalunge - Nande Rd, Mahalunge, Pune, Maharashtra 411045",0,0,3,0
,,25,098905 96800,"Avishkar Elegance, Chakankar Mala, Baner, Pune, Maharashtra 411069",0,0,2,0
,,6,088882 90202,"10 Balaji Enterprises, Jay Tulja Bhawani Rd, Balewadi Gaon, Balewadi, Pune, Maharashtra 411045",0,1,14,0
,,193,088666 58457,"shop no 27, IMPERIAL RESIDENCE, Kalyani Nagar, Pune, Maharashtra 411006",0,1,4,0
,,43,090495 19400,"Kirti apartment, Lane Number 24, Bhagyoday Nagar, Badhan Nagar, Kondhwa, Pune, Maharashtra 411048",0,4,6,0
,,3,,"above Jai Mata Di shop, Ghotawade Phata, Pirangut, Maharashtra 412115",0,0,5,0
,,16,,"First Floor, Mauli Shirvalkar Lane, Bus-stop, Sukhanand HSG So. Sr No. 133, Flat no 2, Sinhgad Rd, near Dandekar Bridge, Pune, Maharashtra 411030",0,0,8,0
,,,098224 36775,"268, Shirole Galli, near PMC Building, near MUNJOBA GANPATI MANDIR, Gaothan, Shivajinagar, Pune, Maharashtra 411005",0,0,1,0
,,104,090216 84715,"Flat No 1, Junction, behind Legal, near Warje Bridge, Warje, Pune, Maharashtra 411058",0,0,1,0
,,101,080878 72411,"Mega Centre C-213, 1ST Floor, Pune Magarpatta Chowk, Solapur Road, Pune, Maharashtra 411013",0,9,11,0
,,129,097625 15286,"Office No.12, Todkar Township, Vardhaman Twp, Sasane Nagar, Hadapsar, Pune, Maharashtra 411028",0,0,2,0
,,55,099708 07183,"Shop No. 1, In VIP Water Purifier, 40 Feet Rd, near Shree Datta Mandir Chowk, Manjri Bk, Haveli, Pune, Maharashtra 412307",0,0,5,0
,,234,090495 84954,"63/1/11, Dr Keshav Baliram Hedgewar Path, above SHRI DEPARTMENTAL STORES, Swami Samarth Colony, NIRMAL COLONY, Pune, Pimpri-Chinchwad, Maharashtra 411017",0,5,11,0
,,55,080877 76787,"Office No.1, Axis Bank, Tejswini Apartment, Solapur - Pune Hwy, above axis Bank, Kadam Wasti, Kadamwak Wasti, Maharashtra 412201",0,4,9,0
,,2,082085 87694,"NSG Crown, near Navale Bridge, Kudale Baug, Vadgaon Budruk, Pune, Maharashtra 411041",0,1,9,0
,,2,020 2445 3958,"Bhamini Arcade, B 303, Sinhgad Rd, opp. Rohan Kritika, next to Pu La Deshpande Garden, Sarita Vihar Phase 2, Dattawadi, Pune, Maharashtra 411030",0,0,3,0
,,14,090960 20217,"C/O. Prashant S Dhopate, Survey No. 1, H. No. 722,, Near HDFC Bank Warje Branch, Warje, Pune, Maharashtra 411058",0,0,3,0
